Date,Home,Away,Game Number,Ballpark
2026-04-27,Baltimore Pilots,Indianapolis Anchors,25,Baltimore Park
2026-04-28,Baltimore Pilots,Indianapolis Anchors,26,Baltimore Park
2026-04-29,Baltimore Pilots,Indianapolis Anchors,27,Baltimore Park
2026-04-27,Austin Stars,Houston Knights,25,Austin Park
2026-04-28,Austin Stars,Houston Knights,26,Austin Park
2026-04-29,Austin Stars,Houston Knights,27,Austin Park
2026-04-27,Toronto Lions,Denver Comets,25,Toronto Park
2026-04-28,Toronto Lions,Denver Comets,26,Toronto Park
2026-04-29,Toronto Lions,Denver Comets,27,Toronto Park
2026-04-27,Pittsburgh Bears,Charlotte Storm,25,Pittsburgh Park
2026-04-28,Pittsburgh Bears,Charlotte Storm,26,Pittsburgh Park
2026-04-29,Pittsburgh Bears,Charlotte Storm,27,Pittsburgh Park
2026-05-01,Seattle Storm 2,Nashville Foxes,28,Seattle Park
2026-05-02,Seattle Storm 2,Nashville Foxes,29,Seattle Park
2026-05-03,Seattle Storm 2,Nashville Foxes,30,Seattle Park
2026-05-01,Boston Falcons,Philadelphia Knights 2,28,Boston Park
2026-05-02,Boston Falcons,Philadelphia Knights 2,29,Boston Park
2026-05-03,Boston Falcons,Philadelphia Knights 2,30,Boston Park
2026-05-01,Minneapolis Guardians,Atlanta Captains 2,28,Minneapolis Park
2026-05-02,Minneapolis Guardians,Atlanta Captains 2,29,Minneapolis Park
2026-05-03,Minneapolis Guardians,Atlanta Captains 2,30,Minneapolis Park
2026-05-01,Dallas Rockets,San Diego Falcons 2,28,Dallas Park
2026-05-02,Dallas Rockets,San Diego Falcons 2,29,Dallas Park
2026-05-03,Dallas Rockets,San Diego Falcons 2,30,Dallas Park
2026-05-01,Kansas City Wolves,Tampa Pilots 2,28,Kansas City Park
2026-05-02,Kansas City Wolves,Tampa Pilots 2,29,Kansas City Park
2026-05-03,Kansas City Wolves,Tampa Pilots 2,30,Kansas City Park
2026-05-01,Phoenix Hawks,Cleveland Sharks 2,28,Phoenix Park
2026-05-02,Phoenix Hawks,Cleveland Sharks 2,29,Phoenix Park
2026-05-03,Phoenix Hawks,Cleveland Sharks 2,30,Phoenix Park
2026-05-01,Miami Aces,Detroit Bears 2,28,Miami Park
2026-05-02,Miami Aces,Detroit Bears 2,29,Miami Park
2026-05-03,Miami Aces,Detroit Bears 2,30,Miami Park
2026-05-01,Los Angeles Sharks,New York Hawks 2,28,Los Angeles Park
2026-05-02,Los Angeles Sharks,New York Hawks 2,29,Los Angeles Park
2026-05-03,Los Angeles Sharks,New York Hawks 2,30,Los Angeles Park
2026-05-01,Chicago Dragons,San Francisco Owls 2,28,Chicago Park
2026-05-02,Chicago Dragons,San Francisco Owls 2,29,Chicago Park
2026-05-03,Chicago Dragons,San Francisco Owls 2,30,Chicago Park
2026-05-01,Milwaukee Giants,Washington Aces 2,28,Milwaukee Park
2026-05-02,Milwaukee Giants,Washington Aces 2,29,Milwaukee Park
2026-05-03,Milwaukee Giants,Washington Aces 2,30,Milwaukee Park
2026-05-01,Indianapolis Anchors,St. Louis Owls,28,Indianapolis Park
2026-05-02,Indianapolis Anchors,St. Louis Owls,29,Indianapolis Park
2026-05-03,Indianapolis Anchors,St. Louis Owls,30,Indianapolis Park
2026-05-01,Houston Knights,Portland Captains,28,Houston Park
2026-05-02,Houston Knights,Portland Captains,29,Houston Park
2026-05-03,Houston Knights,Portland Captains,30,Houston Park
2026-05-01,Denver Comets,Baltimore Pilots,28,Denver Park
2026-05-02,Denver Comets,Baltimore Pilots,29,Denver Park
2026-05-03,Denver Comets,Baltimore Pilots,30,Denver Park
2026-05-01,Charlotte Storm,Austin Stars,28,Charlotte Park
2026-05-02,Charlotte Storm,Austin Stars,29,Charlotte Park
2026-05-03,Charlotte Storm,Austin Stars,30,Charlotte Park
2026-05-01,Pittsburgh Bears,Toronto Lions,28,Pittsburgh Park
2026-05-02,Pittsburgh Bears,Toronto Lions,29,Pittsburgh Park
2026-05-03,Pittsburgh Bears,Toronto Lions,30,Pittsburgh Park
2026-05-05,Nashville Foxes,Boston Falcons,31,Nashville Park
2026-05-06,Nashville Foxes,Boston Falcons,32,Nashville Park
2026-05-07,Nashville Foxes,Boston Falcons,33,Nashville Park
2026-05-05,Seattle Storm 2,Minneapolis Guardians,31,Seattle Park
2026-05-06,Seattle Storm 2,Minneapolis Guardians,32,Seattle Park
2026-05-07,Seattle Storm 2,Minneapolis Guardians,33,Seattle Park
2026-05-05,Philadelphia Knights 2,Dallas Rockets,31,Philadelphia Park
2026-05-06,Philadelphia Knights 2,Dallas Rockets,32,Philadelphia Park
2026-05-07,Philadelphia Knights 2,Dallas Rockets,33,Philadelphia Park
2026-05-05,Atlanta Captains 2,Kansas City Wolves,31,Atlanta Park
2026-05-06,Atlanta Captains 2,Kansas City Wolves,32,Atlanta Park
2026-05-07,Atlanta Captains 2,Kansas City Wolves,33,Atlanta Park
2026-05-05,San Diego Falcons 2,Phoenix Hawks,31,San Diego Park
2026-05-06,San Diego Falcons 2,Phoenix Hawks,32,San Diego Park
2026-05-07,San Diego Falcons 2,Phoenix Hawks,33,San Diego Park
2026-05-05,Tampa Pilots 2,Miami Aces,31,Tampa Park
2026-05-06,Tampa Pilots 2,Miami Aces,32,Tampa Park
2026-05-07,Tampa Pilots 2,Miami Aces,33,Tampa Park
2026-05-05,Cleveland Sharks 2,Los Angeles Sharks,31,Cleveland Park
2026-05-06,Cleveland Sharks 2,Los Angeles Sharks,32,Cleveland Park
2026-05-07,Cleveland Sharks 2,Los Angeles Sharks,33,Cleveland Park
2026-05-05,Detroit Bears 2,Chicago Dragons,31,Detroit Park
2026-05-06,Detroit Bears 2,Chicago Dragons,32,Detroit Park
2026-05-07,Detroit Bears 2,Chicago Dragons,33,Detroit Park
2026-05-05,New York Hawks 2,Milwaukee Giants,31,New York Park
2026-05-06,New York Hawks 2,Milwaukee Giants,32,New York Park
2026-05-07,New York Hawks 2,Milwaukee Giants,33,New York Park
2026-05-05,San Francisco Owls 2,Indianapolis Anchors,31,San Francisco Park
2026-05-06,San Francisco Owls 2,Indianapolis Anchors,32,San Francisco Park
2026-05-07,San Francisco Owls 2,Indianapolis Anchors,33,San Francisco Park
2026-05-05,Washington Aces 2,Houston Knights,31,Washington Park
2026-05-06,Washington Aces 2,Houston Knights,32,Washington Park
2026-05-07,Washington Aces 2,Houston Knights,33,Washington Park
2026-05-05,St. Louis Owls,Denver Comets,31,St. Louis Park
2026-05-06,St. Louis Owls,Denver Comets,32,St. Louis Park
2026-05-07,St. Louis Owls,Denver Comets,33,St. Louis Park
2026-05-05,Portland Captains,Charlotte Storm,31,Portland Park
2026-05-06,Portland Captains,Charlotte Storm,32,Portland Park
2026-05-07,Portland Captains,Charlotte Storm,33,Portland Park
2026-05-05,Baltimore Pilots,Pittsburgh Bears,31,Baltimore Park
2026-05-06,Baltimore Pilots,Pittsburgh Bears,32,Baltimore Park
2026-05-07,Baltimore Pilots,Pittsburgh Bears,33,Baltimore Park
2026-05-05,Austin Stars,Toronto Lions,31,Austin Park
2026-05-06,Austin Stars,Toronto Lions,32,Austin Park
2026-05-07,Austin Stars,Toronto Lions,33,Austin Park
2026-05-09,Minneapolis Guardians,Nashville Foxes,34,Minneapolis Park
2026-05-10,Minneapolis Guardians,Nashville Foxes,35,Minneapolis Park
2026-05-11,Minneapolis Guardians,Nashville Foxes,36,Minneapolis Park
2026-05-09,Dallas Rockets,Boston Falcons,34,Dallas Park
2026-05-10,Dallas Rockets,Boston Falcons,35,Dallas Park
2026-05-11,Dallas Rockets,Boston Falcons,36,Dallas Park
2026-05-09,Kansas City Wolves,Seattle Storm 2,34,Kansas City Park
2026-05-10,Kansas City Wolves,Seattle Storm 2,35,Kansas City Park
2026-05-11,Kansas City Wolves,Seattle Storm 2,36,Kansas City Park
2026-05-09,Phoenix Hawks,Philadelphia Knights 2,34,Phoenix Park
2026-05-10,Phoenix Hawks,Philadelphia Knights 2,35,Phoenix Park
2026-05-11,Phoenix Hawks,Philadelphia Knights 2,36,Phoenix Park
2026-05-09,Miami Aces,Atlanta Captains 2,34,Miami Park
2026-05-10,Miami Aces,Atlanta Captains 2,35,Miami Park
2026-05-11,Miami Aces,Atlanta Captains 2,36,Miami Park
2026-05-09,Los Angeles Sharks,San Diego Falcons 2,34,Los Angeles Park
2026-05-10,Los Angeles Sharks,San Diego Falcons 2,35,Los Angeles Park
2026-05-11,Los Angeles Sharks,San Diego Falcons 2,36,Los Angeles Park
2026-05-09,Chicago Dragons,Tampa Pilots 2,34,Chicago Park
2026-05-10,Chicago Dragons,Tampa Pilots 2,35,Chicago Park
2026-05-11,Chicago Dragons,Tampa Pilots 2,36,Chicago Park
2026-05-09,Milwaukee Giants,Cleveland Sharks 2,34,Milwaukee Park
2026-05-10,Milwaukee Giants,Cleveland Sharks 2,35,Milwaukee Park
2026-05-11,Milwaukee Giants,Cleveland Sharks 2,36,Milwaukee Park
2026-05-09,Indianapolis Anchors,Detroit Bears 2,34,Indianapolis Park
2026-05-10,Indianapolis Anchors,Detroit Bears 2,35,Indianapolis Park
2026-05-11,Indianapolis Anchors,Detroit Bears 2,36,Indianapolis Park
2026-05-09,Houston Knights,New York Hawks 2,34,Houston Park
2026-05-10,Houston Knights,New York Hawks 2,35,Houston Park
2026-05-11,Houston Knights,New York Hawks 2,36,Houston Park
2026-05-09,Denver Comets,San Francisco Owls 2,34,Denver Park
2026-05-10,Denver Comets,San Francisco Owls 2,35,Denver Park
2026-05-11,Denver Comets,San Francisco Owls 2,36,Denver Park
2026-05-09,Charlotte Storm,Washington Aces 2,34,Charlotte Park
2026-05-10,Charlotte Storm,Washington Aces 2,35,Charlotte Park
2026-05-11,Charlotte Storm,Washington Aces 2,36,Charlotte Park
2026-05-09,Pittsburgh Bears,St. Louis Owls,34,Pittsburgh Park
2026-05-10,Pittsburgh Bears,St. Louis Owls,35,Pittsburgh Park
2026-05-11,Pittsburgh Bears,St. Louis Owls,36,Pittsburgh Park
2026-05-09,Toronto Lions,Portland Captains,34,Toronto Park
2026-05-10,Toronto Lions,Portland Captains,35,Toronto Park
2026-05-11,Toronto Lions,Portland Captains,36,Toronto Park
2026-05-09,Austin Stars,Baltimore Pilots,34,Austin Park
2026-05-10,Austin Stars,Baltimore Pilots,35,Austin Park
2026-05-11,Austin Stars,Baltimore Pilots,36,Austin Park
2026-05-13,Nashville Foxes,Dallas Rockets,37,Nashville Park
2026-05-14,Nashville Foxes,Dallas Rockets,38,Nashville Park
2026-05-15,Nashville Foxes,Dallas Rockets,39,Nashville Park
2026-05-13,Minneapolis Guardians,Kansas City Wolves,37,Minneapolis Park
2026-05-14,Minneapolis Guardians,Kansas City Wolves,38,Minneapolis Park
2026-05-15,Minneapolis Guardians,Kansas City Wolves,39,Minneapolis Park
2026-05-13,Boston Falcons,Phoenix Hawks,37,Boston Park
2026-05-14,Boston Falcons,Phoenix Hawks,38,Boston Park
2026-05-15,Boston Falcons,Phoenix Hawks,39,Boston Park
2026-05-13,Seattle Storm 2,Miami Aces,37,Seattle Park
2026-05-14,Seattle Storm 2,Miami Aces,38,Seattle Park
2026-05-15,Seattle Storm 2,Miami Aces,39,Seattle Park
2026-05-13,Philadelphia Knights 2,Los Angeles Sharks,37,Philadelphia Park
2026-05-14,Philadelphia Knights 2,Los Angeles Sharks,38,Philadelphia Park
2026-05-15,Philadelphia Knights 2,Los Angeles Sharks,39,Philadelphia Park
2026-05-13,Atlanta Captains 2,Chicago Dragons,37,Atlanta Park
2026-05-14,Atlanta Captains 2,Chicago Dragons,38,Atlanta Park
2026-05-15,Atlanta Captains 2,Chicago Dragons,39,Atlanta Park
2026-05-13,San Diego Falcons 2,Milwaukee Giants,37,San Diego Park
2026-05-14,San Diego Falcons 2,Milwaukee Giants,38,San Diego Park
2026-05-15,San Diego Falcons 2,Milwaukee Giants,39,San Diego Park
2026-05-13,Tampa Pilots 2,Indianapolis Anchors,37,Tampa Park
2026-05-14,Tampa Pilots 2,Indianapolis Anchors,38,Tampa Park
2026-05-15,Tampa Pilots 2,Indianapolis Anchors,39,Tampa Park
2026-05-13,Cleveland Sharks 2,Houston Knights,37,Cleveland Park
2026-05-14,Cleveland Sharks 2,Houston Knights,38,Cleveland Park
2026-05-15,Cleveland Sharks 2,Houston Knights,39,Cleveland Park
2026-05-13,Detroit Bears 2,Denver Comets,37,Detroit Park
2026-05-14,Detroit Bears 2,Denver Comets,38,Detroit Park
2026-05-15,Detroit Bears 2,Denver Comets,39,Detroit Park
2026-05-13,New York Hawks 2,Charlotte Storm,37,New York Park
2026-05-14,New York Hawks 2,Charlotte Storm,38,New York Park
2026-05-15,New York Hawks 2,Charlotte Storm,39,New York Park
2026-05-13,San Francisco Owls 2,Pittsburgh Bears,37,San Francisco Park
2026-05-14,San Francisco Owls 2,Pittsburgh Bears,38,San Francisco Park
2026-05-15,San Francisco Owls 2,Pittsburgh Bears,39,San Francisco Park
2026-05-13,Washington Aces 2,Toronto Lions,37,Washington Park
2026-05-14,Washington Aces 2,Toronto Lions,38,Washington Park
2026-05-15,Washington Aces 2,Toronto Lions,39,Washington Park
2026-05-13,St. Louis Owls,Austin Stars,37,St. Louis Park
2026-05-14,St. Louis Owls,Austin Stars,38,St. Louis Park
2026-05-15,St. Louis Owls,Austin Stars,39,St. Louis Park
2026-05-13,Portland Captains,Baltimore Pilots,37,Portland Park
2026-05-14,Portland Captains,Baltimore Pilots,38,Portland Park
2026-05-15,Portland Captains,Baltimore Pilots,39,Portland Park
2026-05-17,Kansas City Wolves,Nashville Foxes,40,Kansas City Park
2026-05-18,Kansas City Wolves,Nashville Foxes,41,Kansas City Park
2026-05-19,Kansas City Wolves,Nashville Foxes,42,Kansas City Park
2026-05-17,Phoenix Hawks,Dallas Rockets,40,Phoenix Park
2026-05-18,Phoenix Hawks,Dallas Rockets,41,Phoenix Park
2026-05-19,Phoenix Hawks,Dallas Rockets,42,Phoenix Park
2026-05-17,Miami Aces,Minneapolis Guardians,40,Miami Park
2026-05-18,Miami Aces,Minneapolis Guardians,41,Miami Park
2026-05-19,Miami Aces,Minneapolis Guardians,42,Miami Park
2026-05-17,Los Angeles Sharks,Boston Falcons,40,Los Angeles Park
2026-05-18,Los Angeles Sharks,Boston Falcons,41,Los Angeles Park
2026-05-19,Los Angeles Sharks,Boston Falcons,42,Los Angeles Park
2026-05-17,Chicago Dragons,Seattle Storm 2,40,Chicago Park
2026-05-18,Chicago Dragons,Seattle Storm 2,41,Chicago Park
2026-05-19,Chicago Dragons,Seattle Storm 2,42,Chicago Park
2026-05-17,Milwaukee Giants,Philadelphia Knights 2,40,Milwaukee Park
2026-05-18,Milwaukee Giants,Philadelphia Knights 2,41,Milwaukee Park
2026-05-19,Milwaukee Giants,Philadelphia Knights 2,42,Milwaukee Park
2026-05-17,Indianapolis Anchors,Atlanta Captains 2,40,Indianapolis Park
2026-05-18,Indianapolis Anchors,Atlanta Captains 2,41,Indianapolis Park
2026-05-19,Indianapolis Anchors,Atlanta Captains 2,42,Indianapolis Park
2026-05-17,Houston Knights,San Diego Falcons 2,40,Houston Park
2026-05-18,Houston Knights,San Diego Falcons 2,41,Houston Park
2026-05-19,Houston Knights,San Diego Falcons 2,42,Houston Park
2026-05-17,Denver Comets,Tampa Pilots 2,40,Denver Park
2026-05-18,Denver Comets,Tampa Pilots 2,41,Denver Park
2026-05-19,Denver Comets,Tampa Pilots 2,42,Denver Park
2026-05-17,Charlotte Storm,Cleveland Sharks 2,40,Charlotte Park
2026-05-18,Charlotte Storm,Cleveland Sharks 2,41,Charlotte Park
2026-05-19,Charlotte Storm,Cleveland Sharks 2,42,Charlotte Park
2026-05-17,Pittsburgh Bears,Detroit Bears 2,40,Pittsburgh Park
2026-05-18,Pittsburgh Bears,Detroit Bears 2,41,Pittsburgh Park
2026-05-19,Pittsburgh Bears,Detroit Bears 2,42,Pittsburgh Park
2026-05-17,Toronto Lions,New York Hawks 2,40,Toronto Park
2026-05-18,Toronto Lions,New York Hawks 2,41,Toronto Park
2026-05-19,Toronto Lions,New York Hawks 2,42,Toronto Park
2026-05-17,Austin Stars,San Francisco Owls 2,40,Austin Park
2026-05-18,Austin Stars,San Francisco Owls 2,41,Austin Park
2026-05-19,Austin Stars,San Francisco Owls 2,42,Austin Park
2026-05-17,Baltimore Pilots,Washington Aces 2,40,Baltimore Park
2026-05-18,Baltimore Pilots,Washington Aces 2,41,Baltimore Park
2026-05-19,Baltimore Pilots,Washington Aces 2,42,Baltimore Park
2026-05-17,Portland Captains,St. Louis Owls,40,Portland Park
2026-05-18,Portland Captains,St. Louis Owls,41,Portland Park
2026-05-19,Portland Captains,St. Louis Owls,42,Portland Park
2026-05-21,Nashville Foxes,Phoenix Hawks,43,Nashville Park
2026-05-22,Nashville Foxes,Phoenix Hawks,44,Nashville Park
2026-05-23,Nashville Foxes,Phoenix Hawks,45,Nashville Park
2026-05-21,Kansas City Wolves,Miami Aces,43,Kansas City Park
2026-05-22,Kansas City Wolves,Miami Aces,44,Kansas City Park
2026-05-23,Kansas City Wolves,Miami Aces,45,Kansas City Park
2026-05-21,Dallas Rockets,Los Angeles Sharks,43,Dallas Park
2026-05-22,Dallas Rockets,Los Angeles Sharks,44,Dallas Park
2026-05-23,Dallas Rockets,Los Angeles Sharks,45,Dallas Park
2026-05-21,Minneapolis Guardians,Chicago Dragons,43,Minneapolis Park
2026-05-22,Minneapolis Guardians,Chicago Dragons,44,Minneapolis Park
2026-05-23,Minneapolis Guardians,Chicago Dragons,45,Minneapolis Park
2026-05-21,Boston Falcons,Milwaukee Giants,43,Boston Park
2026-05-22,Boston Falcons,Milwaukee Giants,44,Boston Park
2026-05-23,Boston Falcons,Milwaukee Giants,45,Boston Park
2026-05-21,Seattle Storm 2,Indianapolis Anchors,43,Seattle Park
2026-05-22,Seattle Storm 2,Indianapolis Anchors,44,Seattle Park
2026-05-23,Seattle Storm 2,Indianapolis Anchors,45,Seattle Park
2026-05-21,Philadelphia Knights 2,Houston Knights,43,Philadelphia Park
2026-05-22,Philadelphia Knights 2,Houston Knights,44,Philadelphia Park
2026-05-23,Philadelphia Knights 2,Houston Knights,45,Philadelphia Park
2026-05-21,Atlanta Captains 2,Denver Comets,43,Atlanta Park
2026-05-22,Atlanta Captains 2,Denver Comets,44,Atlanta Park
2026-05-23,Atlanta Captains 2,Denver Comets,45,Atlanta Park
2026-05-21,San Diego Falcons 2,Charlotte Storm,43,San Diego Park
2026-05-22,San Diego Falcons 2,Charlotte Storm,44,San Diego Park
2026-05-23,San Diego Falcons 2,Charlotte Storm,45,San Diego Park
2026-05-21,Tampa Pilots 2,Pittsburgh Bears,43,Tampa Park
2026-05-22,Tampa Pilots 2,Pittsburgh Bears,44,Tampa Park
2026-05-23,Tampa Pilots 2,Pittsburgh Bears,45,Tampa Park
2026-05-21,Cleveland Sharks 2,Toronto Lions,43,Cleveland Park
2026-05-22,Cleveland Sharks 2,Toronto Lions,44,Cleveland Park
2026-05-23,Cleveland Sharks 2,Toronto Lions,45,Cleveland Park
2026-05-21,Detroit Bears 2,Austin Stars,43,Detroit Park
2026-05-22,Detroit Bears 2,Austin Stars,44,Detroit Park
2026-05-23,Detroit Bears 2,Austin Stars,45,Detroit Park
2026-05-21,New York Hawks 2,Baltimore Pilots,43,New York Park
2026-05-22,New York Hawks 2,Baltimore Pilots,44,New York Park
2026-05-23,New York Hawks 2,Baltimore Pilots,45,New York Park
2026-05-21,San Francisco Owls 2,Portland Captains,43,San Francisco Park
2026-05-22,San Francisco Owls 2,Portland Captains,44,San Francisco Park
2026-05-23,San Francisco Owls 2,Portland Captains,45,San Francisco Park
2026-05-21,Washington Aces 2,St. Louis Owls,43,Washington Park
2026-05-22,Washington Aces 2,St. Louis Owls,44,Washington Park
2026-05-23,Washington Aces 2,St. Louis Owls,45,Washington Park
2026-05-25,Miami Aces,Nashville Foxes,46,Miami Park
2026-05-26,Miami Aces,Nashville Foxes,47,Miami Park
2026-05-27,Miami Aces,Nashville Foxes,48,Miami Park
2026-05-25,Los Angeles Sharks,Phoenix Hawks,46,Los Angeles Park
2026-05-26,Los Angeles Sharks,Phoenix Hawks,47,Los Angeles Park
2026-05-27,Los Angeles Sharks,Phoenix Hawks,48,Los Angeles Park
2026-05-25,Chicago Dragons,Kansas City Wolves,46,Chicago Park
2026-05-26,Chicago Dragons,Kansas City Wolves,47,Chicago Park
2026-05-27,Chicago Dragons,Kansas City Wolves,48,Chicago Park
2026-05-25,Milwaukee Giants,Dallas Rockets,46,Milwaukee Park
2026-05-26,Milwaukee Giants,Dallas Rockets,47,Milwaukee Park
2026-05-27,Milwaukee Giants,Dallas Rockets,48,Milwaukee Park
2026-05-25,Indianapolis Anchors,Minneapolis Guardians,46,Indianapolis Park
2026-05-26,Indianapolis Anchors,Minneapolis Guardians,47,Indianapolis Park
2026-05-27,Indianapolis Anchors,Minneapolis Guardians,48,Indianapolis Park
2026-05-25,Houston Knights,Boston Falcons,46,Houston Park
2026-05-26,Houston Knights,Boston Falcons,47,Houston Park
2026-05-27,Houston Knights,Boston Falcons,48,Houston Park
2026-05-25,Denver Comets,Seattle Storm 2,46,Denver Park
2026-05-26,Denver Comets,Seattle Storm 2,47,Denver Park
2026-05-27,Denver Comets,Seattle Storm 2,48,Denver Park
2026-05-25,Charlotte Storm,Philadelphia Knights 2,46,Charlotte Park
2026-05-26,Charlotte Storm,Philadelphia Knights 2,47,Charlotte Park
2026-05-27,Charlotte Storm,Philadelphia Knights 2,48,Charlotte Park
2026-05-25,Pittsburgh Bears,Atlanta Captains 2,46,Pittsburgh Park
2026-05-26,Pittsburgh Bears,Atlanta Captains 2,47,Pittsburgh Park
2026-05-27,Pittsburgh Bears,Atlanta Captains 2,48,Pittsburgh Park
2026-05-25,Toronto Lions,San Diego Falcons 2,46,Toronto Park
2026-05-26,Toronto Lions,San Diego Falcons 2,47,Toronto Park
2026-05-27,Toronto Lions,San Diego Falcons 2,48,Toronto Park
2026-05-25,Austin Stars,Tampa Pilots 2,46,Austin Park
2026-05-26,Austin Stars,Tampa Pilots 2,47,Austin Park
2026-05-27,Austin Stars,Tampa Pilots 2,48,Austin Park
2026-05-25,Baltimore Pilots,Cleveland Sharks 2,46,Baltimore Park
2026-05-26,Baltimore Pilots,Cleveland Sharks 2,47,Baltimore Park
2026-05-27,Baltimore Pilots,Cleveland Sharks 2,48,Baltimore Park
2026-05-25,Portland Captains,Detroit Bears 2,46,Portland Park
2026-05-26,Portland Captains,Detroit Bears 2,47,Portland Park
2026-05-27,Portland Captains,Detroit Bears 2,48,Portland Park
2026-05-25,St. Louis Owls,New York Hawks 2,46,St. Louis Park
2026-05-26,St. Louis Owls,New York Hawks 2,47,St. Louis Park
2026-05-27,St. Louis Owls,New York Hawks 2,48,St. Louis Park
2026-05-25,Washington Aces 2,San Francisco Owls 2,46,Washington Park
2026-05-26,Washington Aces 2,San Francisco Owls 2,47,Washington Park
2026-05-27,Washington Aces 2,San Francisco Owls 2,48,Washington Park
2026-05-29,Nashville Foxes,Los Angeles Sharks,49,Nashville Park
2026-05-30,Nashville Foxes,Los Angeles Sharks,50,Nashville Park
2026-05-31,Nashville Foxes,Los Angeles Sharks,51,Nashville Park
2026-05-29,Miami Aces,Chicago Dragons,49,Miami Park
2026-05-30,Miami Aces,Chicago Dragons,50,Miami Park
2026-05-31,Miami Aces,Chicago Dragons,51,Miami Park
2026-05-29,Phoenix Hawks,Milwaukee Giants,49,Phoenix Park
2026-05-30,Phoenix Hawks,Milwaukee Giants,50,Phoenix Park
2026-05-31,Phoenix Hawks,Milwaukee Giants,51,Phoenix Park
2026-05-29,Kansas City Wolves,Indianapolis Anchors,49,Kansas City Park
2026-05-30,Kansas City Wolves,Indianapolis Anchors,50,Kansas City Park
2026-05-31,Kansas City Wolves,Indianapolis Anchors,51,Kansas City Park
2026-05-29,Dallas Rockets,Houston Knights,49,Dallas Park
2026-05-30,Dallas Rockets,Houston Knights,50,Dallas Park
2026-05-31,Dallas Rockets,Houston Knights,51,Dallas Park
2026-05-29,Minneapolis Guardians,Denver Comets,49,Minneapolis Park
2026-05-30,Minneapolis Guardians,Denver Comets,50,Minneapolis Park
2026-05-31,Minneapolis Guardians,Denver Comets,51,Minneapolis Park
2026-05-29,Boston Falcons,Charlotte Storm,49,Boston Park
2026-05-30,Boston Falcons,Charlotte Storm,50,Boston Park
2026-05-31,Boston Falcons,Charlotte Storm,51,Boston Park
2026-05-29,Seattle Storm 2,Pittsburgh Bears,49,Seattle Park
2026-05-30,Seattle Storm 2,Pittsburgh Bears,50,Seattle Park
2026-05-31,Seattle Storm 2,Pittsburgh Bears,51,Seattle Park
2026-05-29,Philadelphia Knights 2,Toronto Lions,49,Philadelphia Park
2026-05-30,Philadelphia Knights 2,Toronto Lions,50,Philadelphia Park
2026-05-31,Philadelphia Knights 2,Toronto Lions,51,Philadelphia Park
2026-05-29,Atlanta Captains 2,Austin Stars,49,Atlanta Park
2026-05-30,Atlanta Captains 2,Austin Stars,50,Atlanta Park
2026-05-31,Atlanta Captains 2,Austin Stars,51,Atlanta Park
2026-05-29,San Diego Falcons 2,Baltimore Pilots,49,San Diego Park
2026-05-30,San Diego Falcons 2,Baltimore Pilots,50,San Diego Park
2026-05-31,San Diego Falcons 2,Baltimore Pilots,51,San Diego Park
2026-05-29,Tampa Pilots 2,Portland Captains,49,Tampa Park
2026-05-30,Tampa Pilots 2,Portland Captains,50,Tampa Park
2026-05-31,Tampa Pilots 2,Portland Captains,51,Tampa Park
2026-05-29,Cleveland Sharks 2,St. Louis Owls,49,Cleveland Park
2026-05-30,Cleveland Sharks 2,St. Louis Owls,50,Cleveland Park
2026-05-31,Cleveland Sharks 2,St. Louis Owls,51,Cleveland Park
2026-05-29,Detroit Bears 2,Washington Aces 2,49,Detroit Park
2026-05-30,Detroit Bears 2,Washington Aces 2,50,Detroit Park
2026-05-31,Detroit Bears 2,Washington Aces 2,51,Detroit Park
2026-05-29,New York Hawks 2,San Francisco Owls 2,49,New York Park
2026-05-30,New York Hawks 2,San Francisco Owls 2,50,New York Park
2026-05-31,New York Hawks 2,San Francisco Owls 2,51,New York Park
2026-06-02,Chicago Dragons,Nashville Foxes,52,Chicago Park
2026-06-03,Chicago Dragons,Nashville Foxes,53,Chicago Park
2026-06-04,Chicago Dragons,Nashville Foxes,54,Chicago Park
2026-06-02,Milwaukee Giants,Los Angeles Sharks,52,Milwaukee Park
2026-06-03,Milwaukee Giants,Los Angeles Sharks,53,Milwaukee Park
2026-06-04,Milwaukee Giants,Los Angeles Sharks,54,Milwaukee Park
2026-06-02,Indianapolis Anchors,Miami Aces,52,Indianapolis Park
2026-06-03,Indianapolis Anchors,Miami Aces,53,Indianapolis Park
2026-06-04,Indianapolis Anchors,Miami Aces,54,Indianapolis Park
2026-06-02,Houston Knights,Phoenix Hawks,52,Houston Park
2026-06-03,Houston Knights,Phoenix Hawks,53,Houston Park
2026-06-04,Houston Knights,Phoenix Hawks,54,Houston Park
2026-06-02,Denver Comets,Kansas City Wolves,52,Denver Park
2026-06-03,Denver Comets,Kansas City Wolves,53,Denver Park
2026-06-04,Denver Comets,Kansas City Wolves,54,Denver Park
2026-06-02,Charlotte Storm,Dallas Rockets,52,Charlotte Park
2026-06-03,Charlotte Storm,Dallas Rockets,53,Charlotte Park
2026-06-04,Charlotte Storm,Dallas Rockets,54,Charlotte Park
2026-06-02,Pittsburgh Bears,Minneapolis Guardians,52,Pittsburgh Park
2026-06-03,Pittsburgh Bears,Minneapolis Guardians,53,Pittsburgh Park
2026-06-04,Pittsburgh Bears,Minneapolis Guardians,54,Pittsburgh Park
2026-06-02,Toronto Lions,Boston Falcons,52,Toronto Park
